,1.2.1_SI_POV_NAHC,1.3.1_SI_COV_PENSN,1.4.1_SP_ACS_BSRVH2O,1.4.1_SP_ACS_BSRVSAN,1.a.2_SD_XPD_ESED,10.4.1_SL_EMP_GTOTL,10.5.1_FI_FSI_FSLS,10.5.1_FI_FSI_FSKNL,10.5.1_FI_FSI_FSANL,10.5.1_FI_FSI_FSERA,10.a.1_TM_TRF_ZERO,10.b.1_DC_TRF_TOTL,11.6.2_EN_ATM_PM25,12.2.2_EN_MAT_DOMCMPC,12.2.2_EN_MAT_DOMCMPG,12.4.2_EN_EWT_GENPCAP,16.2.2_VC_HTF_DETV,16.3.2_VC_PRS_UNSEC,16.5.2_IC_FRM_BRIB,16.9.1_SG_REG_BRTH,2.1.1_SN_ITK_DEFC,2.2.1_SH_STA_STUNTN,2.2.1_SH_STA_STUNT,2.2.2_SH_STA_OVRWGTN,2.2.2_SH_STA_WASTEN,2.5.1_ER_GRF_ANIMRCNTN,2.a.1_AG_PRD_ORTIND,2.a.1_AG_XPD_AGSGB,2.a.1_AG_PRD_AGVAS,2.a.2_DC_TOF_AGRL,2.c.1_AG_FPA_CFPI,3.1.1_SH_STA_MMR,3.2.1_SH_DYN_IMRTN,3.2.1_SH_DYN_IMRT,3.2.1_SH_DYN_MORTN,3.2.1_SH_DYN_MORT,3.2.2_SH_DYN_NMRTN,3.2.2_SH_DYN_NMRT,3.3.1_SH_HIV_INCD,3.3.2_SH_TBS_INCID,3.3.4_SH_HAP_HBSAG,3.3.5_SH_TRP_INTVN,3.4.1_SH_DTH_NCOM,3.4.1_SH_DTH_RNCOM,3.4.2_SH_STA_SCIDEN,3.4.2_SH_STA_SCIDE,3.5.1_SH_SUD_ALCOL,3.5.2_SH_ALC_CONSPT,3.6.1_SH_STA_TRAF,3.7.1_SH_FPL_MTMM,3.7.2_SP_DYN_ADKL,3.8.2_SH_XPD_EARN10,3.8.2_SH_XPD_EARN25,3.9.1_SH_AAP_ASMORT,3.9.1_SH_HAP_ASMORT,3.9.2_SH_STA_WASH,3.9.3_SH_STA_POISN,3.b.1_SH_ACS_DTP3,3.b.1_SH_ACS_MCV2,3.b.1_SH_ACS_PCV3,3.b.2_DC_TOF_HLTHL,3.b.2_DC_TOF_HLTHNT,3.c.1_SH_MED_HEAWOR,4.1.1_SE_TOT_PRFL,4.1.2_SE_TOT_CPLR,4.5.1_SE_AGP_CPRA,4.5.1_SE_ALP_CPLR,4.5.1_SE_AWP_CPRA,4.b.1_DC_TOF_SCHIPSL,5.5.1_SG_GEN_LOCGELS,5.5.1_SG_GEN_PARL,5.5.2_IC_GEN_MGTL,6.2.1_SH_SAN_DEFECT,6.4.1_ER_H2O_WUEYST,6.4.2_ER_H2O_STRESS,6.5.1_ER_H2O_IWRMD,6.6.1_EN_WBE_PMPR,6.a.1_DC_TOF_WASHL,6.b.1_ER_H2O_RURP,7.1.1_EG_ELC_ACCS,7.1.2_EG_EGY_CLEAN,7.2.1_EG_FEC_RNEW,7.3.1_EG_EGY_PRIM,8.1.1_NY_GDP_PCAP,8.10.1_FB_ATM_TOTL,8.10.1_FB_CBK_BRCH,8.10.2_FB_BNK_ACCSS,8.2.1_SL_EMP_PCAP,8.6.1_SL_TLF_NEET,8.a.1_DC_TOF_TRDCML,8.a.1_DC_TOF_TRDDBML,9.1.2_IS_RDP_FRGVOL,9.1.2_IS_RDP_PFVOL,9.2.1_NV_IND_MANF,9.2.1_NV_IND_MANFPC,9.2.2_SL_TLF_MANF,9.3.2_FC_ACC_SSID,9.a.1_DC_TOF_INFRAL,9.b.1_NV_IND_TECH,9.c.1_IT_MOB_2GNTWK,9.c.1_IT_MOB_3GNTWK,9.c.1_IT_MOB_4GNTWK,Human Development Index
Botswana,18.2,100.0,87.65,72.43,20.48,46.18,7.16,16.22,5.43,2.76,96.68,-81.42,21.06,5.53,0.74,7.92,49.53,22.3,8.37,87.5,24.1,70.76,28.94,24.34,17.89,0.0,1.73,3.46,2.0,7.61,0.5,144.0,1117.33,29.93,1360.67,36.4,1370.0,24.5,4.96,275.0,0.2,238203.0,20.53,933.0,139.33,9.33,7.13,6.65,23.8,66.11649999999999,50.0,1.0,0.21,52.0,60.0,11.8,1.13,95.0,74.0,91.0,15.29,15.29,15.46,33.35,71.27249999999998,1.0165000000000006,0.6391999999999998,0.3710000000000001,1.43,12.67,10.77,38.62,14.95,71.0,2.0,41.0,0.07,0.08,3.0,55.83,53.0,28.56,3.26,2.18,44.51,9.29,51.34,1.6,35.37,3.03,12.43,603448139.13,5099581743.06,5.55,401.3,6.6,35.55,31.05,5.79,97.0,95.0,65.0,0.693
Brazil,26.5,100.0,95.82,80.4,16.22,60.37,241.92,-13.76,3.05,1.58,56.53,12646.44,11.65,3.09,0.28,10.21,1054.0,37.1,11.67,96.4,2.5,1088.41,6.96,1005.21,285.92,1.0,0.19,0.82,4.36,160.42,-1.6,60.0,24947.33,12.77,27960.0,14.33,23715.0,8.1,0.11490000000000007,45.0,0.1,9489512.0,16.7,125508.75,8977.67,6.53,4.23,7.5,19.7,89.0,52.7,25.56,3.46,24.0,7.0,1.0,0.2,83.0,69.0,84.0,7.4,6.23,35.53,56.27,81.33,1.1,0.84,0.71,15.24,13.51,14.62,39.59,2.83,22.04,3.15,51.0,1.03,41.16,3.0,100.0,95.0,45.29,4.11,0.33,104.75,18.98,70.13,-0.3,24.23,373.26,290.03,415188874723.2,376494648399.82,9.21,781.8,11.5,55.6,1738.19,35.39,95.83,95.52,83.05,0.754
Bulgaria,23.4,100.0,98.87,85.5,11.44,51.42,35.78,28.22,7.8,1.59,71.98,1271.8253999999997,19.81,3.46,0.42,11.74,368.0,8.7,8.89,100.0,3.0,24.33,7.0,23.98,21.9,2.0,0.97,3.28,3.37,42.2096,0.4,10.0,249.33,5.9,299.33,7.03,227.0,3.6,0.07,22.0,0.3,1.0,23.7,15565.83,545.33,11.6,7.0,12.83,10.2,56.225999999999985,38.2,12.84,0.76,53.0,10.0,0.1,0.6,92.0,87.0,88.0,37.89630000000002,35.601299999999995,32.99,69.7,86.06,0.95,0.86,0.6,4.354399999999999,27.15,26.67,38.57,0.0,7.93,44.1,60.0,0.96,57.225100000000005,1.93,100.0,93.5,17.05,5.96,3.83,93.12,52.81,72.15,3.8,15.07,352.19519999999994,330.8124,9041093802.5,3876468496.67,14.57,1205.2,19.0,40.91,335.2132,29.21,100.0,100.0,99.71,0.795
Burkina Faso,33.77,2.93,54.25,23.37,22.66,48.47,67.42130000000002,13.234999999999996,11.778500000000003,2.6149,89.2,1205.47,36.55,1.02,1.48,0.64,550.0,42.0,9.76,76.9,19.2,832.82,24.9,34.32,280.47,0.0,0.16,3.42,21.65,180.66,-0.1,320.0,24130.0,48.93,37134.67,76.33,18540.0,24.7,0.13,48.0,4.3,10152760.0,21.8,5367.5,961.33,7.73,1.83,12.14,30.5,51.1,132.3,3.13,0.42,87.0,155.0,49.6,3.0,91.0,71.0,91.0,113.67,110.43,2.46,33.93,15.03,0.6,0.54,0.27,2.65,12.68,13.39,30.95,38.84,8.91,7.8,63.0,0.14,106.96,3.0,33.31,10.0,70.01,5.69,3.8,3.96,2.83,42.98,3.0,18.4049,556.08,306.13,1258344522.13,5061652009.08,5.42,35.4,15.2,20.25,244.39,13.146299999999988,93.0,33.0,0.0,0.449
Burundi,53.77,4.0,69.07,44.65,19.92,56.98,24.93,6.54,14.19,3.2,78.66,534.22,35.63,0.35,1.54,0.46,10.0,51.2,30.26,83.5,31.367999999999974,1094.13,54.2,25.99,102.95,0.0,0.07,2.79,38.37,65.81,1.2,548.0,11762.67,40.93,16582.67,58.37,9483.0,21.7,0.13,111.0,2.6,5484235.0,22.9,3486.67,637.33,9.13,6.9,7.28,34.7,36.2,58.2,3.29,0.43,70.0,140.0,65.4,5.23,90.0,77.0,90.0,101.09,100.74,2.38,66.08,26.11,0.78,0.42,0.19,1.61,19.1,36.36,32.36,2.05,5.86,10.35,32.0,7.62,38.34,2.0,24.25,5.0,88.24,8.74,-2.97,1.42,3.22,7.11,-2.9,6.2,140.36,101.86,207326754.8,1794149735.93,10.75,27.1,1.8,30.74,33.16,2.57,53.65,44.48,20.93,0.426
Cambodia,14.97,6.07,82.91,67.79,8.84,37.63,25.73,4.01,1.99,1.58,61.19,1235.94,24.46,0.99,0.87,1.14,132.23,31.7,64.66,73.3,14.5,570.78,32.45,39.16,171.01,0.0,0.2335,4.095099999999999,17.473200000000006,114.37,-1.1,160.0,5836.0,23.97,6799.33,27.97,5263.0,14.4,0.05,302.0,0.6,4182394.0,21.37,6935.33,557.33,5.33,5.2,6.75,17.8,54.05,57.4,15.27,5.24,56.0,114.0,6.5,0.6,92.0,70.0,84.0,60.55,59.04,2.32,14.61,42.71,0.87,0.65,0.27,14.14,16.93,20.0,30.88,24.32,5.9,1.0,46.0,1.95,130.27,2.0,91.41,22.0,61.46,5.79,5.91,19.45,7.84,21.68,5.3,12.73,747.91,333.79,3392193412.33,13354246487.92,17.14,246.8,16.9,20.1,272.29,0.26,99.0,85.1,80.3,0.593
Cameroon,34.4,13.0,58.91,37.61,16.88,36.43,162.4,7.59,12.39,3.76,56.16,2072.88,65.31,0.74,0.49,1.03,67.0,54.6,26.69,66.1,6.3,1156.87,28.9,440.33,172.13,0.0,0.2615,3.5997999999999997,22.251300000000004,120.87,-0.1,529.0,29678.0,50.5,44248.67,76.0,23707.0,26.6,1.16,186.0,1.9,16537416.0,21.6,8348.25,1911.33,12.23,7.03,5.66,30.1,41.25,119.0,10.78,2.98,110.0,141.0,45.2,3.1,79.0,48.87,79.0,73.11,72.49,0.26,30.54,37.75,0.69,0.58,0.1,9.83,25.33,31.11,49.26,7.44,21.25,1.5,34.0,0.39,101.34,2.0,58.63,24.0,78.65,4.77,1.38,4.81,2.2,34.62,1.1,16.87,242.21,205.4,2235522566.24,11057054094.12,14.94,209.2,10.3,7.19,168.92,7.61,95.81,77.33,65.48,0.576
Canada,15.078400000000004,100.0,99.29,98.8,12.22,60.96,48.53,4.71,0.45,1.15,55.92,12242.789499999997,6.6,4.8,0.09,20.21,37.0,38.8,4.372600000000003,100.0,2.5,294.54999999999995,5.1907,176.55,84.85479999999993,0.0,0.55,0.98,1.83,70.205,-1.0,10.0,1118.67,4.3,1279.33,4.97,1309.0,3.4,0.08130000000000001,5.6,1.0,0.0,9.8,27923.42,3017.0,12.53,8.03,8.98,5.8,76.7655,7.7,2.64,0.51,7.0,4.91,0.4,0.3,91.0,87.0,81.0,33.67860000000002,30.906800000000004,35.04,83.81,92.34,1.04,0.96,0.88,8.438600000000001,26.6,28.99,35.52,0.0,41.87,3.7,79.84,8.87,80.95260000000005,1.97,100.0,95.0,23.15,7.55,0.94,220.0,19.99,99.72,0.6,12.83,336.6563999999999,388.6343999999998,200333158462.2,369400177717.05,9.51,4268.4,9.3,41.611300000000035,681.1213,38.0,99.5,99.5,99.3,0.936
Central African Republic,60.33,10.187999999999999,48.27,27.82,7.83,55.34,227.41,4.26,22.94,0.93,41.8,656.14,50.35,0.78,2.33,0.48,209.84,51.74100000000002,21.03,61.0,29.976999999999997,296.79,40.8,14.82,48.01,0.0,0.05,1.76,38.62,9.17,-1.0699999999999994,829.0,9200.0,84.27,12710.67,116.33,6841.0,41.2,1.3,540.0,6.6,3300000.0,23.13,1827.5,236.0,7.73,3.83,2.4,33.6,22.0,229.0,6.75,1.22,94.0,159.0,82.1,3.23,47.0,50.06,47.0,39.76,39.19,0.71,17.490199999999987,19.38,0.51,0.55,0.14,2.42,18.387,8.57,23.547499999999996,21.93,15.22,0.3,31.0,0.07,11.52,2.0,32.24,5.0,75.8,6.67,2.77,1.38,0.71,13.85,2.1,16.4662,124.1,71.72,381279390.53,820793892.34,19.0,77.3,12.823999999999995,21.35,61.65,9.25,57.08,29.0,0.12,0.404
Chad,40.03,1.0,46.01,13.45,17.21,55.55,117.92,70.08,28.63,1.62,68.66,872.39,51.88,0.58,0.7,0.82,202.26,49.659,27.41,12.0,39.6,1047.04,39.77,74.02,349.88,0.0,0.17920000000000003,4.3597,29.54159999999998,47.81,-1.215999999999999,1140.0,30482.0,71.27,49938.0,118.77,22350.0,34.2,0.5,142.0,3.1,6233571.0,23.93,4651.08,852.0,8.83,0.7,1.37,27.6,16.7,179.4,6.28,0.22,130.0,208.0,101.0,3.6,41.0,51.21,52.2,50.4,49.35,0.71,20.49,15.25,0.58,0.46,0.27,2.22,16.046899999999994,15.43,15.634699999999999,55.12,8.98,4.3,32.0,0.11,39.72,2.0,17.52,5.0,85.37,3.25,-0.61,1.53,1.0,21.88,-1.2,20.049500000000002,180.46,84.14,2187215221.02,3666832912.93,10.04,72.9,6.568999999999997,4.55,27.33,10.452500000000002,86.0,42.0,12.0,0.394
