,1.2.1_SI_POV_NAHC,1.3.1_SI_COV_PENSN,1.4.1_SP_ACS_BSRVH2O,1.4.1_SP_ACS_BSRVSAN,1.a.2_SD_XPD_ESED,10.4.1_SL_EMP_GTOTL,10.5.1_FI_FSI_FSLS,10.5.1_FI_FSI_FSKNL,10.5.1_FI_FSI_FSANL,10.5.1_FI_FSI_FSERA,10.a.1_TM_TRF_ZERO,10.b.1_DC_TRF_TOTL,11.6.2_EN_ATM_PM25,12.2.2_EN_MAT_DOMCMPC,12.2.2_EN_MAT_DOMCMPG,12.4.2_EN_EWT_GENPCAP,16.2.2_VC_HTF_DETV,16.3.2_VC_PRS_UNSEC,16.5.2_IC_FRM_BRIB,16.9.1_SG_REG_BRTH,2.1.1_SN_ITK_DEFC,2.2.1_SH_STA_STUNTN,2.2.1_SH_STA_STUNT,2.2.2_SH_STA_OVRWGTN,2.2.2_SH_STA_WASTEN,2.5.1_ER_GRF_ANIMRCNTN,2.a.1_AG_PRD_ORTIND,2.a.1_AG_XPD_AGSGB,2.a.1_AG_PRD_AGVAS,2.a.2_DC_TOF_AGRL,2.c.1_AG_FPA_CFPI,3.1.1_SH_STA_MMR,3.2.1_SH_DYN_IMRTN,3.2.1_SH_DYN_IMRT,3.2.1_SH_DYN_MORTN,3.2.1_SH_DYN_MORT,3.2.2_SH_DYN_NMRTN,3.2.2_SH_DYN_NMRT,3.3.1_SH_HIV_INCD,3.3.2_SH_TBS_INCID,3.3.4_SH_HAP_HBSAG,3.3.5_SH_TRP_INTVN,3.4.1_SH_DTH_NCOM,3.4.1_SH_DTH_RNCOM,3.4.2_SH_STA_SCIDEN,3.4.2_SH_STA_SCIDE,3.5.1_SH_SUD_ALCOL,3.5.2_SH_ALC_CONSPT,3.6.1_SH_STA_TRAF,3.7.1_SH_FPL_MTMM,3.7.2_SP_DYN_ADKL,3.8.2_SH_XPD_EARN10,3.8.2_SH_XPD_EARN25,3.9.1_SH_AAP_ASMORT,3.9.1_SH_HAP_ASMORT,3.9.2_SH_STA_WASH,3.9.3_SH_STA_POISN,3.b.1_SH_ACS_DTP3,3.b.1_SH_ACS_MCV2,3.b.1_SH_ACS_PCV3,3.b.2_DC_TOF_HLTHL,3.b.2_DC_TOF_HLTHNT,3.c.1_SH_MED_HEAWOR,4.1.1_SE_TOT_PRFL,4.1.2_SE_TOT_CPLR,4.5.1_SE_AGP_CPRA,4.5.1_SE_ALP_CPLR,4.5.1_SE_AWP_CPRA,4.b.1_DC_TOF_SCHIPSL,5.5.1_SG_GEN_LOCGELS,5.5.1_SG_GEN_PARL,5.5.2_IC_GEN_MGTL,6.2.1_SH_SAN_DEFECT,6.4.1_ER_H2O_WUEYST,6.4.2_ER_H2O_STRESS,6.5.1_ER_H2O_IWRMD,6.6.1_EN_WBE_PMPR,6.a.1_DC_TOF_WASHL,6.b.1_ER_H2O_RURP,7.1.1_EG_ELC_ACCS,7.1.2_EG_EGY_CLEAN,7.2.1_EG_FEC_RNEW,7.3.1_EG_EGY_PRIM,8.1.1_NY_GDP_PCAP,8.10.1_FB_ATM_TOTL,8.10.1_FB_CBK_BRCH,8.10.2_FB_BNK_ACCSS,8.2.1_SL_EMP_PCAP,8.6.1_SL_TLF_NEET,8.a.1_DC_TOF_TRDCML,8.a.1_DC_TOF_TRDDBML,9.1.2_IS_RDP_FRGVOL,9.1.2_IS_RDP_PFVOL,9.2.1_NV_IND_MANF,9.2.1_NV_IND_MANFPC,9.2.2_SL_TLF_MANF,9.3.2_FC_ACC_SSID,9.a.1_DC_TOF_INFRAL,9.b.1_NV_IND_TECH,9.c.1_IT_MOB_2GNTWK,9.c.1_IT_MOB_3GNTWK,9.c.1_IT_MOB_4GNTWK,Human Development Index
Chile,8.6,59.1,99.88,100.0,21.3,62.13,20.7,-4.46,1.87,1.31,82.33,-9269.18,22.06,7.37,0.49,9.93,13.0,31.3,1.29,99.4,3.5,22.41,1.8,115.79,3.74,0.0,0.41,1.48,3.64,6.74,-0.7,13.0,954.0,6.13,1121.33,7.2,1130.0,4.9,0.27,18.0,0.3,25.0,12.43,11648.5,1262.0,10.6,6.07,9.12,12.5,76.05599999999998,26.4,14.6,2.08,20.0,6.0,0.2,0.2,95.0,93.0,93.0,0.66,0.37,44.24,70.79,92.41,1.04,0.97,0.91,3.4,24.86,22.58,27.26,0.0,6.41,9.0,23.0,1.62,5.05,3.0,100.0,95.0,23.5,3.9,2.59,49.69,13.97,74.46,0.6,16.03,17.49,52.45,11655811009.89,35732233888.22,10.78,1520.9,10.4,69.75,283.36,20.96,99.0,95.0,88.0,0.855
China,5.15,100.0,92.23,82.85,14.983600000000003,51.32,55.31,-9.18,1.83,0.9,38.37,26322.51,50.06,4.41,0.61,7.23,3037.3,32.54600000000001,11.59,98.014,2.5,7024.11,8.1,7891.28,1647.63,0.0,0.31,2.37,7.5,515.13,-1.5,29.0,83088.0,7.37,97426.0,8.6,72600.0,4.3,0.19539999999999996,61.0,0.8,26378300.0,16.97,1325115.5,90844.33,9.7,4.33,6.99,18.2,96.6,9.2,19.72,5.4,67.0,60.0,0.6,1.37,99.0,99.0,62.44,86.38,33.65,13.51,81.22,80.51,1.06,0.86,0.9,23.32,29.221600000000002,24.94,28.919200000000004,0.25,20.8,43.2,75.0,1.21,74.28,2.0,99.99,64.0,12.77,6.06,6.07,97.12,8.88,80.19,6.5,13.98519999999999,295.07,405.0,2938486250148.31,2890224884838.51,28.77,2863.7,15.479999999999995,11.39,2591.18,41.45,99.9,99.4,99.4,0.768
Colombia,30.47,59.23,94.56,86.23,15.98,53.03,43.0,-6.65,4.4,2.57,78.58,6810.41,16.21,1.2,0.16,6.3,52.0,32.6,6.57,96.8,5.5,470.77,12.74,211.81,60.87,0.0,0.32559999999999995,2.4562000000000004,7.012400000000001,399.85,-1.4,83.0,6001.33,12.2,6979.33,14.17,5715.0,7.8,0.13,33.0,0.2,3350646.0,15.87,28038.5,2323.67,7.2,7.07,5.8,18.5,79.95,61.0,8.19,2.23,28.0,10.0,0.8,0.37,92.0,88.0,94.0,4.52,2.79,14.97,55.16,77.57,1.08,0.75,0.73,8.19,17.9,18.34,53.44,5.45,19.17,1.8,50.0,0.4,7.75,3.0,99.18,93.0,29.23,2.49,1.11,42.35,14.86,45.89,1.9,23.82,173.76,205.75,27485704701.88,71588608332.66,10.87,692.9,12.3,59.74,337.42,23.33,100.0,100.0,98.0,0.752
Comoros,42.4,28.512299999999993,81.77,37.72,13.25,34.8,67.83139999999999,38.73,21.68,0.59,61.7,87.25,18.61,0.8,0.51,0.74,52.74,41.103,24.253100000000014,87.3,15.381999999999989,34.68,31.13,11.83,12.49,0.0,0.3173,3.6554999999999995,26.565199999999976,2.26,-0.3919999999999999,273.0,896.0,51.2,1174.67,67.37,837.0,31.6,0.01,35.0,2.0,828148.0,22.97,286.42,36.0,6.77,0.7,0.69,26.5,28.8,70.3,8.81,1.64,57.0,138.0,50.7,2.37,91.0,62.0,82.69,6.87,6.66,2.4,17.7,50.89,1.04,0.73,0.39,5.91,28.04,6.06,25.56,0.58,48.35,0.8,26.0,0.28,8.0,1.0,82.95,8.0,38.83,3.07,0.68,4.97,3.18,21.76,-1.6,27.37,28.76,38.76,287033.7,283831267.51,8.48,110.5,9.5,21.49200000000001,36.14,7.2554,90.85,89.83,82.48,0.558
Congo,54.87,22.1,68.68,17.88,15.57,53.24,74.9447,11.781299999999995,10.779700000000002,2.8303999999999996,42.72,420.64,37.52,0.66,0.26,4.0,57.0,44.64999999999999,37.49,95.9,28.0,162.82,21.19,45.43,62.78,0.0,0.58,2.2,3.8,14.78,0.3,378.0,4120.0,36.13,5674.67,50.0,3498.0,20.3,1.15,375.0,4.1,1323442.0,16.67,1466.5,200.67,5.87,2.13,9.29,27.4,43.2,111.3,4.58,0.66,60.0,92.0,38.7,1.2,75.0,58.53,73.0,11.86,11.78,2.15,38.86,40.98,0.71,0.44,0.06,6.36,16.576099999999997,11.26,31.087700000000012,11.1,126.54,0.0,32.0,0.48,24.19,2.0,59.27,32.0,70.04,4.77,-1.55,24.470399999999998,14.670300000000003,26.1,1.0,26.43,37.65,24.11,677553135.47,3850374286.97,8.37,171.7,16.5,20.371499999999997,41.42,2.42,75.0,64.5,5.0,0.571
Costa Rica,22.43,47.1,99.66,97.32,26.09,56.03,153.54,-5.56,2.4,1.0,82.04,809.75,16.29,1.61,0.16,10.02,60.0,20.6,8.7,99.6,3.2,19.76,5.6,28.58,3.53,0.0,0.34,1.55,4.58,4.61,-0.1,27.0,354.67,7.57,411.33,8.77,411.0,5.9,0.26,10.0,0.2,4017.0,11.53,2587.92,256.67,7.93,6.9,4.88,16.7,82.7,50.4,9.84,1.7,19.0,5.0,0.9,0.3,94.0,93.0,96.0,2.97,1.99,17.62,66.68,76.47,1.08,0.92,0.65,1.39,45.64,45.61,33.91,0.25,16.32,5.5,43.0,0.32,11.11,2.0,99.42,95.0,36.22,2.75,1.65,74.34,19.68,68.06,3.4,19.2,36.07,69.41,1969712894.05,23658529035.06,11.1,1355.6,11.0,55.39,196.88,16.69,97.31,97.31,86.54,0.809
Croatia,19.5,57.6,99.59,96.4,9.56,58.15,47.07,12.9,9.71,1.4,79.36,1294.04,17.32,1.78,0.12,11.89,29.0,27.6,3.94,100.0,2.5,242.93150000000009,5.912500000000003,95.41229999999997,77.37569999999994,0.0,1.57,4.53,2.86,20.11,-0.32799999999999996,8.0,98.0,3.97,116.67,4.7,96.0,2.6,0.03,8.4,0.1,1.0,16.73,6859.08,462.33,16.67,5.93,9.39,8.1,50.397000000000006,9.1,2.8,0.26,28.0,8.0,0.1,0.17,93.0,95.0,88.37,0.08,0.08,31.58,78.41,96.61,1.0,1.0,0.96,0.84,26.39,19.21,29.98,0.45,58.71,1.45,90.0,1.13,10.1,2.3,100.0,86.0,29.81,3.89,3.35,147.26,30.03,86.23,2.4,13.6,374.6742,317.0050999999999,4014132447.5,11079576843.33,12.55,1695.2,17.3,34.66,546.64,27.77,100.0,99.4,98.5,0.858
Cuba,25.648199999999996,66.36750000000002,94.15,93.27,15.344199999999995,38.18,75.08590000000002,23.9377,7.688599999999997,1.2145000000000008,48.99,720.68,19.98,1.35,0.21,10.645200000000003,6.0,29.351999999999993,9.122100000000001,100.0,2.5,52.53,7.0,132.154,18.01,0.0,0.8065000000000003,3.1116000000000015,5.5658999999999965,13.51,-0.5590000000000002,36.0,287.33,3.7,390.67,5.0,241.0,2.1,0.15,7.2,0.1,2348.0,16.4,11253.75,1064.33,13.93,6.6,5.84,8.5,88.8,52.0,7.353000000000003,1.2448999999999995,30.0,23.0,1.0,0.3,99.0,99.0,88.7,1.27,-0.23,58.88,83.56,15.69,0.17,0.16,0.0,1.38,34.87,53.22,38.12,0.35,12.33,23.9,80.0,2.47,108.47,2.0,100.0,88.06,17.72,1.82,2.26,62.98730000000001,20.8678,73.35600000000001,1.3,13.069099999999999,58.29,33.01,2776461082.92,28814432512.03,13.45,1059.1,9.3,38.0358,14.61,18.2391,85.3,67.0,0.0,0.764
Cyprus,15.891299999999996,90.37,99.64,99.02,16.69,48.88,47.07,100.71,19.52,0.55,72.89,930.0482999999991,16.96,3.65,0.17,16.8,9.0,26.4,6.6591000000000005,100.0,6.8,248.42440000000002,6.645799999999998,40.94180000000001,81.16439999999993,0.0,0.92,1.86,2.02,37.21699999999999,-0.4,6.0,15.33,1.87,20.0,2.4,17.0,1.4,0.14789999999999992,5.4,0.6,2.0,11.33,1012.67,41.33,5.27,6.87,10.83,5.1,58.73649999999998,4.4,16.07,1.5,20.0,5.88,0.3,0.1,99.0,88.0,81.0,30.69240000000001,30.145500000000013,21.51,70.05,96.17,1.04,1.02,0.95,5.201299999999998,24.803700000000006,19.64,16.95,0.0,59.17,26.05,91.0,0.13,87.20620000000007,2.09,100.0,95.0,10.39,3.26,3.22,42.14,42.24,88.68,1.3,13.23,327.4852,312.8447,223005250.0,5239325318.99,4.46,857.9,6.9,66.13,158.11360000000005,23.68,99.98,99.97,97.53,0.896
Czechia,9.7,100.0,99.87,99.16,14.15,50.44,29.97,11.41,3.14,1.1,66.98,578.1780000000002,15.37,2.98,0.13,15.71,6.0,8.4,3.55,100.0,2.5,11.31,2.71,18.48,19.37,6.0,1.68,3.45,2.06,40.188599999999994,0.8,3.0,196.67,2.67,248.67,3.4,195.0,1.8,0.06,5.4,0.4,3.0,15.07,13926.08,929.0,13.2,6.1,14.57,5.9,85.7,12.1,2.22,0.05,27.0,3.0,0.2,0.3,96.0,84.0,79.23,31.022199999999998,29.9049,34.84,83.61,96.91,1.0,1.01,0.95,9.040399999999998,27.06,22.5,26.76,0.0,107.65,27.3,79.0,0.67,81.49010000000001,1.87,100.0,95.0,14.47,5.26,2.72,57.13,21.27,81.05,2.4,5.67,397.48320000000007,383.4782999999999,14554041386.0,36291733846.67,27.44,5404.1,27.6,49.23,477.3077000000001,51.89,99.8,99.8,99.8,0.889
Denmark,15.261800000000003,99.0,100.0,99.6,13.83,58.14,50.11,19.59,1.71,0.62,68.57,1891.4961999999994,10.23,2.76,0.04,22.39,61.0,32.8,2.9808000000000003,100.0,2.5,248.6102,5.1896,105.41439999999997,75.89939999999993,2.0,0.42,0.43,1.02,38.4764,0.7,4.0,146.67,3.6,171.33,4.2,191.0,3.1,0.03,5.4,0.8,0.0,11.3,5872.25,485.67,12.77,7.53,10.3,4.0,71.99399999999999,2.8,2.93,0.49,13.0,5.46,0.3,0.13,97.0,90.0,96.0,30.44710000000001,29.394300000000012,38.99,86.78,90.39,1.04,0.88,0.97,8.006100000000005,33.33,39.66,26.68,0.0,367.11,20.0,93.0,6.04,63.910600000000024,1.6,100.0,95.0,36.52,2.61,2.04,47.9,20.83,99.92,1.3,6.8,337.8737999999999,369.1305999999999,4396160294.15,24681586802.78,12.66,7176.2,11.4,41.465600000000016,466.8545999999998,55.34,100.0,100.0,100.0,0.948
Djibouti,21.1,14.2,68.85,53.12,13.99,40.78,75.85,26.97,18.06,0.9,57.16,171.62,40.68,0.68,0.41,1.04,0.0,41.531000000000006,11.13,91.7,21.290000000000006,30.98,33.48,7.53,19.85,0.0,0.6631999999999995,4.415799999999998,21.483499999999996,6.97,0.2,248.0,679.33,49.63,812.0,59.17,652.0,31.7,0.56,260.0,0.6,110561.0,19.67,381.83,42.0,6.67,0.8,0.43,23.5,41.042999999999985,21.0,1.14,0.06,70.0,117.0,31.3,2.37,84.0,81.0,84.0,8.76,8.26,3.02,24.29759999999999,6.59,0.1,0.08,0.0,1.42,28.87,26.15,17.341299999999993,28.97,23.170600000000004,6.3,32.5825,0.62,36.97,1.51,52.15,6.0,14.53,2.55,4.02,12.1,7.26,12.55,3.9,24.211599999999997,226.52,48.21,881867112.56,584349543.12,3.66,77.8,6.274999999999997,26.19,39.84,8.3796,85.0,70.0,5.0,0.509
Dominican Republic,39.33,11.1,95.08,81.3,12.58,50.8,450.31,-6.17,1.62,1.92,53.09,411.82,13.13,1.02,0.14,6.45,25.0,51.5,12.34,88.0,5.5,71.17,7.12,76.13,23.75,0.0,0.27,1.49,5.49,6.77,-0.4,95.0,3326.0,24.07,3982.0,28.77,4024.0,19.4,0.29,45.0,0.3,2700201.0,19.07,6254.67,704.33,9.93,6.8,6.72,34.6,81.7,51.0,17.66,4.9,32.0,13.0,2.2,0.4,94.0,31.0,70.0,3.75,2.76,8.72,22.13,73.85,0.97,0.67,0.63,0.94,28.34,27.89,41.06,3.91,7.51,45.0,36.0,0.98,1.67,3.0,100.0,89.0,17.02,2.32,5.8,36.88,12.56,56.25,3.6,24.37,85.78,43.89,3255320942.79,50487695348.67,13.15,1055.1,10.0,49.72,352.33,15.43700000000001,99.56,99.23,93.72,0.767
Ecuador,24.97,52.0,92.49,87.27,12.6,52.12,33.56,-1.87,3.31,1.24,63.22,1612.23,15.23,1.75,0.33,5.74,68.0,33.8,5.94,82.1,8.8,382.19,23.94,128.52,25.98,0.0,0.27,2.54,9.45,23.07,-0.4,59.0,2737.33,12.2,3176.67,14.2,2435.0,7.2,0.13,44.0,0.3,5060.0,13.03,7447.83,774.67,7.1,6.7,4.21,21.3,79.4,71.1,10.31,2.44,20.0,5.0,0.6,0.6,85.0,74.0,85.0,6.71,6.45,12.26,50.64,86.31,1.02,0.87,0.83,3.09,27.17,39.42,35.66,2.62,8.76,6.8,42.0,0.72,57.98,2.0,100.0,94.0,16.74,3.46,-0.4,34.53,10.07,51.37,-2.2,17.87,255.92,209.6,1411366445.56,26736193650.13,14.11,824.7,10.9,44.93,633.01,13.57,95.38,93.04,70.87,0.74
Egypt,25.13,37.5,99.14,94.54,10.94,34.9,90.1851,12.151300000000006,7.111699999999997,1.4740000000000006,65.36,8089.59,79.46,1.39,0.51,5.9,38.0,9.9,15.17,99.4,4.7,2659.6,22.27,1873.87,1132.56,0.0,0.12,1.38,11.22,257.06,2.3,37.0,31232.67,18.07,36607.33,21.17,29070.0,11.2,0.04,12.0,0.8,5066393.0,27.67,61222.75,2532.67,3.97,1.4,0.36,9.7,80.0,51.8,26.2,3.9,105.0,5.0,2.0,0.23,95.0,94.0,72.52,27.42,20.46,12.09,21.26,65.74,0.94,0.9,0.45,16.2,20.937399999999993,15.1,6.37,0.0,4.37,118.15,40.0,0.65,362.88,0.0,100.0,95.0,5.54,3.77,3.19,18.72,4.99,32.81,2.4,27.17,872.14,1930.49,14247510773.26,121671151641.53,15.91,608.5,12.0,4.33,3913.07,18.38,99.8,98.71,89.0,0.731
El Salvador,31.87,28.5,96.36,85.67,14.94,45.02,32.93,-2.9,1.85,1.15,80.45,735.4,23.6,1.0,0.3,5.55,28.0,31.1,4.23,98.5,8.9,80.14,13.65,37.48,12.56,0.0,0.29,1.39,4.88,10.38,-0.4,46.0,918.67,11.77,1068.67,13.63,781.0,6.7,0.12,70.0,0.6,1443743.0,14.07,3316.83,581.67,14.13,6.37,4.04,22.2,80.0,74.0,1.69,0.3,30.0,15.0,2.0,0.2,81.0,85.0,75.0,7.46,7.04,12.04,34.95,73.32,1.03,0.74,0.68,0.76,32.44,33.33,35.35,1.5,9.76,13.2,21.0,1.63,12.23,2.0,99.44,91.0,25.34,3.73,2.02,38.15,14.92,30.77,1.4,27.82,58.52,49.65,865407063.57,27644003716.76,15.93,630.7,15.0,41.63,62.84,19.13,97.0,86.0,68.0,0.675
Equatorial Guinea,62.73,35.25589999999999,57.84,64.49,12.970900000000004,51.91,170.05,106.12,36.68,2.01,53.33,247.81,47.51,4.13,0.36,7.203699999999998,133.79,42.049,25.112300000000005,53.5,20.154999999999998,40.58,26.2,15.03,4.8,0.0,0.76,0.8,1.06,0.37,0.2,301.0,1778.67,62.47,2390.0,85.13,1300.0,29.9,4.29,201.0,8.7,429326.0,21.97,413.58,134.0,15.87,6.67,6.86,24.6,20.7,176.0,8.954600000000003,1.8248999999999989,92.0,117.0,22.3,1.87,25.0,48.57,47.32,1.45,1.34,2.32,32.59349999999998,21.65,0.63,0.26,0.27,0.32,26.85,21.0,38.4605,3.01,85.6384,0.2,24.0,0.37,0.02,0.0,54.86,24.0,11.95,1.75,-8.11,10.45,6.44,33.96609999999998,-8.7,26.503099999999968,7.05,0.52,931408727.41,2203178618.08,29.39,2271.7,13.013999999999992,23.359400000000004,0.04,28.230499999999992,70.0,60.0,0.0,0.596
Eritrea,65.5,29.638800000000007,56.46,13.16,5.17,39.64,74.68090000000002,16.176599999999997,9.609300000000001,2.5492999999999997,48.27,84.11,41.75,1.41,2.45,0.56,185.3,33.333000000000006,0.0,61.295999999999985,20.433000000000003,276.5,52.53,11.22,76.58,0.0,0.25740000000000013,5.221399999999997,25.5365,5.43,-0.16000000000000011,480.0,2194.0,31.27,2953.33,41.83,1935.0,18.4,0.16,89.0,0.7,956062.0,23.97,1869.5,262.0,7.93,2.23,1.44,25.3,21.0,76.0,8.289600000000002,1.2914999999999992,80.0,125.0,45.6,4.17,95.0,88.0,95.0,30.19,30.17,3.79,24.098999999999993,60.4846,0.8900000000000001,0.48869999999999963,0.35359999999999997,1.27,25.048299999999998,22.0,17.0229,62.85,5.76,11.2,33.96,0.06,0.33,3.0,51.71,9.0,78.41,4.29,2.99,29.710600000000017,18.430700000000005,34.7615,1.5,25.077599999999993,10.88,13.6,42369194.69,821939859.99,6.14,96.6,8.141000000000002,14.02,8.36,4.31,85.0,0.0,0.0,0.492
Estonia,21.8,100.0,99.62,99.19,13.11,58.22,33.32,1.9,0.45,1.76,78.5,665.5783,6.87,5.84,0.31,13.08,10.0,20.2,0.0,100.0,2.5,227.38620000000006,6.264100000000002,27.145099999999992,59.87449999999996,0.0,0.63,1.58,2.66,41.29810000000001,0.7,9.0,18.67,2.1,24.0,2.63,17.0,1.2,0.33,13.0,0.4,0.0,17.43,2049.42,156.0,18.33,12.73,9.52,6.1,60.91399999999999,10.5,12.76,2.66,18.0,8.0,0.0,0.5,92.0,88.0,82.13,30.478900000000007,29.165400000000005,45.27,89.37,90.03,1.06,0.95,0.88,3.317800000000001,28.63,28.71,36.07,0.0,11.35,19.1,80.0,4.75,67.48559999999999,2.0,100.0,95.0,26.98,6.06,4.48,67.97,9.68,97.97,3.3,9.87,358.32130000000006,337.60960000000006,2094250000.0,1116960700.0,13.66,2691.0,18.6,41.35,208.45260000000002,27.48,100.0,100.0,99.0,0.89
Eswatini,55.73,86.0,75.4,56.64,24.8,39.61,17.53,27.17,9.32,2.48,58.95,123.22,16.21,1.94,0.5,6.3,42.0,30.987000000000013,22.849,53.5,16.9,37.53,25.55,13.21,2.93,0.0,0.41,4.23,10.2,21.73,-0.2,437.0,856.0,42.93,1085.33,54.33,517.0,17.2,10.53,329.0,0.9,247084.0,26.97,588.67,119.33,13.43,7.17,10.27,26.9,82.9,87.1,13.39,2.04,54.0,97.0,27.9,3.3,90.0,75.0,88.0,15.8,15.8,11.28,45.43,45.09,0.89,0.44,0.25,0.52,14.21,9.59,43.43,5.56,2.97,76.65,53.0,0.27,3.8,3.0,59.54850000000003,54.0,60.59,4.05,1.32,40.82,6.97,28.57,-1.0,35.53,4.21,25.73,32414343.48,4047490117.72,33.4,1253.6,15.8,46.86,29.27,2.23,54.0,54.0,54.0,0.597
Ethiopia,26.53,15.3,50.8,10.37,27.1,44.13,93.02849999999997,13.502099999999999,11.3019,2.8831999999999995,54.34,5373.66,34.16,0.6,1.2,0.58,412.29,51.02300000000001,26.85,2.7,19.7,6094.39,36.8,347.78,1192.38,0.0,0.27,8.81,31.19,406.46,0.4,401.0,91109.33,39.03,127364.67,55.17,99275.0,28.1,0.27,151.0,2.6,77653029.0,18.33,31483.5,4882.0,7.17,2.5,2.37,26.7,63.9,79.5,4.91,1.43,58.0,111.0,43.7,2.9,72.0,52.85,67.0,461.4,452.05,2.11,29.15259999999999,23.83,0.76,0.16,0.16,7.08,28.4851,38.76,26.52,18.06,3.16,32.3,31.0,0.69,195.45,3.0,57.29,5.0,89.78,9.66,4.05,0.46,2.94,34.95,4.0,10.43,2458.42,1700.67,7532005179.59,25642205093.56,7.42,57.8,5.1,13.978799999999996,1075.24,16.07,97.0,85.0,7.0,0.498
Fiji,34.73,87.3,93.44,95.05,14.3,45.55,61.61,12.11,3.09,2.78,37.47,179.15,10.34,1.49,0.35,6.07,3.0,25.9,10.5,88.963,3.9,6.75,7.5,4.59,5.67,0.0,0.41,4.4,10.75,14.08,-2.7,34.0,272.0,21.6,322.67,25.6,205.0,10.9,0.6250000000000001,54.0,0.3,917552.0,30.47,762.08,30.0,4.97,5.37,3.31,9.6,60.055999999999976,23.1,0.78,0.11,35.0,73.0,2.9,0.43,99.0,94.0,99.0,7.56,7.56,11.16,38.59799999999998,71.82,1.08,0.8,0.40529999999999994,6.43,19.529200000000007,19.61,38.89,0.0,36.58,0.3,35.46,2.49,2.09,3.0,95.66,28.0,26.97,4.18,2.82,54.28,11.88,53.17429999999997,1.7,20.17,24.36,26.56,170025710.02,2974617097.7,9.94,537.4,5.6,27.83,18.88,7.09,98.0,94.0,75.0,0.73
Finland,16.122799999999998,100.0,100.0,99.45,12.34,56.35,28.9,8.24,1.43,0.71,70.72,1479.7423,6.2,4.36,0.09,19.82,56.0,19.0,8.807300000000003,100.0,2.5,263.1389,6.426400000000001,95.14179999999999,86.13369999999992,0.0,1.48,3.53,2.46,42.46109999999998,-0.5,3.0,47.33,1.37,59.33,1.7,49.0,1.0,0.05,4.7,1.1,1.0,10.23,5614.33,582.67,15.97,9.23,10.87,4.7,75.01599999999998,4.9,6.35,0.97,7.0,5.17,0.0,0.23,91.0,93.0,88.0,28.837200000000003,27.753600000000016,50.92,88.03,94.82,1.04,1.01,0.99,7.743000000000002,39.05,46.0,31.83,0.0,109.92,15.6,75.0,9.97,89.93320000000006,1.75,100.0,95.0,44.37,6.14,1.47,34.71,3.13,99.79,0.5,8.53,337.80780000000016,369.1804999999999,10172659647.5,38062994896.67,15.77,7184.0,13.3,41.88510000000001,466.0173,46.03,99.99,99.9,99.9,0.94
France,14.578900000000008,100.0,100.0,98.71,14.2831,60.98,19.6,13.58,2.75,0.42,51.93,14088.761999999997,12.0,2.11,0.05,20.95,1516.0,28.8,5.333300000000001,100.0,2.5,427.2902999999995,4.612699999999999,1061.8078000000003,111.15769999999999,17.0,0.49,0.78,1.62,106.19500000000002,0.0,8.0,1651.33,3.37,1986.67,4.0,1854.0,2.5,0.1,8.9,0.0,86.0,10.63,60040.67,7636.33,17.77,7.07,12.45,5.5,95.5,8.6,1.42,0.22,10.0,6.02,0.3,0.47,96.0,80.0,92.0,33.439500000000024,31.303199999999993,41.17,77.41,93.14,1.06,1.01,0.9,24.41789999999999,40.4,39.51,34.47,0.0,83.53,25.65,100.0,0.68,99.93090000000005,1.59,100.0,95.0,14.52,3.97,1.47,98.26,34.85,94.09,0.5,11.07,430.5615,959.4464000000003,54476197250.0,375152326666.67,10.4,4146.5,11.7,37.82380000000001,1637.4853,50.52,99.0,99.0,99.0,0.903
Gabon,35.93,38.8,76.8,38.47,11.23,26.99,169.69,7.26,9.57,6.33,32.23,89.59,38.16,1.13,0.12,8.67,140.0,44.880999999999986,23.24,89.6,16.6,43.26,17.03,19.6,8.76,0.0,0.3753,2.8517,4.877100000000001,4.03,-1.8,252.0,1440.67,32.63,1950.0,44.7,1404.0,21.0,1.1,525.0,4.2,937923.0,14.4,663.42,93.33,7.0,6.83,8.63,23.2,44.0,91.0,5.67,0.22,52.0,31.0,20.6,0.93,70.0,49.94,53.2,3.74,3.74,9.27,69.2,32.69,0.89,0.4,0.17,2.08,22.147000000000002,14.79,39.5998,4.0,70.1,0.5,14.0,0.77,1.03,2.0,79.62,87.0,81.19,6.3,-1.37,12.85,9.29,58.7,0.4,16.007800000000003,1.66,13.86,1807869887.26,4616058471.37,7.57,536.8,7.707000000000001,23.343000000000007,45.34,5.39,99.0,97.0,97.0,0.706
Gambia,51.73,17.0,76.29,38.11,11.19,39.7,94.76,1.18,3.15,2.72,76.63,240.17,32.26,0.58,0.73,1.22,135.04,38.873,9.23,57.9,11.9,53.39,13.59,9.9,23.7,0.0,0.40509999999999985,5.1831,17.58159999999999,8.0,-0.23100000000000004,597.0,2255.33,38.97,3320.67,58.27,2315.0,26.3,1.13,174.0,1.2,171391.0,20.4,566.58,69.67,5.13,1.0,3.59,29.7,37.6,86.0,0.2,0.03,93.0,182.0,29.7,1.9,93.0,71.0,93.0,47.7,47.61,4.14,5.1,39.63,0.76,0.41,0.25,2.0,15.997000000000005,8.62,33.83,1.27,7.68,2.2,30.0,7.41,1.59,2.0,52.04,5.0,50.82,4.42,3.45,16.8148,7.71,33.81949999999999,3.0,33.47,164.36,92.11,34779789.69,971955851.6,4.3,30.4,9.4,8.59,81.95,3.9,98.0,88.0,7.5,0.5
